,Bidding Zone,Installed Capacity [MW],Name,Production Type,Voltage Connection Level [kV]
11WD8REUW1C----4,10YDE-VE-------2,564.0,HKW Reuter West,Fossil Hard coal,380.0
11WD8ROST1C---P5,10YDE-VE-------2,514.0,Kraftwerk Rostock,Fossil Hard coal,380.0
11WD8CHAR5X----K,10YDE-VE-------2,146.0,Charlottenburg,Fossil Gas,110.0
11W0-0000-0340-T,10YDE-VE-------2,167.0,HKW Nord,Fossil Gas,110.0
11WD8DRES5X---PZ,10YDE-VE-------2,260.0,GTHKW Nossener Bruecke,Fossil Gas,110.0
11WD8SCHK1L----O,10YDE-VE-------2,900.0,Schkopau,Fossil Brown coal/Lignite,380.0
11WD8HAVLXW---PM,10YDE-VE-------2,147.0,Windpark Havelland,Wind Onshore,380.0
11WD8MARK1H----7,10YDE-VE-------2,960.0,PSW Markersbach,Hydro Pumped Storage,380.0
11WD8MOOR1C----G,10YDE-VE-------2,1600.0,HKW Moorburg,Fossil Hard coal,110.0
11WD8MOAB5X----5,10YDE-VE-------2,140.0,Moabit,Fossil Hard coal,110.0
11WD8HOH22H----1,10YDE-VE-------2,320.0,PSW Hohenwarte II,Hydro Pumped Storage,220.0
14W-DRX-WP-KW--S,10YDE-VE-------2,116.7,UW Druxberge,Wind Onshore,110.0
11W0-0000-0026-Y,10YDE-VE-------2,350.0,Wikinger_Prod,Wind Offshore,220.0
11WD8TIEF5X----V,10YDE-VE-------2,316.0,HKW Tiefstack,Fossil Hard coal,110.0
11WD8KLIN5X----0,10YDE-VE-------2,164.0,HKW Klingenberg,Fossil Gas,110.0
11WD8MITT5G----0,10YDE-VE-------2,444.0,HKW Mitte,Fossil Gas,110.0
11WD8BALT3W---PS,10YDE-VE-------2,336.3,Windpark Baltic 1 and 2,Wind Offshore,380.0
11WD8BOXB1L----J,10YDE-VE-------2,2470.0,KW Boxberg,Fossil Brown coal/Lignite,380.0
11WD8LICH5G----1,10YDE-VE-------2,144.0,HKW Lichterfelde,Fossil Gas,110.0
11WD8REUT5X----M,10YDE-VE-------2,160.0,HKW Reuter,Fossil Hard coal,110.0
11WD8SCHW5X----D,10YDE-VE-------2,359.0,Industriekraftwerk PCK,Fossil Oil,110.0
11WD8SWPU1L----5,10YDE-VE-------2,1510.0,KW Schwarze Pumpe,Fossil Brown coal/Lignite,380.0
11WD8GOLD1H----6,10YDE-VE-------2,1060.0,PSW Goldisthal,Hydro Pumped Storage,380.0
11WD8GEHA5H----R,10YDE-VE-------2,120.0,PSW Geesthacht,Hydro Pumped Storage,110.0
