Boiler_Model_Type,GEO_Assigned_Identification_Number,Chimney_Height_m_nbr,Capacity_MWe_nbr,Date_Commissioned_dt,Turbine_Manufacturer,Boiler_Manufacturer,Generator_Manufacturer,Unit_Nbr,Turbine_Model_Type,Decommission_Date_dt,Unit_Efficiency_Percent_nbr,Generator_Model_Type,Control_NOx_yr,Control_SOx_yr,Control_PM_yr,Control_Hg_yr,Control_N2O_yr,Boiler_HRSG_Manufacturer,Unit_Efficiency_Percent,Chimney_Height_nbr,Boiler_HRSG_Model_Type,Diesel_Engine_Boiler_Manufacturer,Diesel_Engine_Boiler_Model_Type,Hydraulic_Head_m_nbr,Speed_RPM_nbr,Injection_Wells_nbr,Production_Wells_nbr,Pipe_Network_Length_km_nbr,Reactor_Manufacturer,Reactor_Type_Model,IAEA_ID,Construction_Start_Date_dt,Generator_Type_Model,Turbine_Type_Model,Panel_Manufacturer,Invertor_Manufacturer,Panel_Type_Model,Invertor_Type_Model,Number_Of_Panels_nbr,Storage_Backup_System,Solar_to_Electric_Efficiency_Percent_nbr,HCE_Manufacturer,Number_Of_Turbines_nbr,Rotor_Diameter_m_nbr,Peak_MWe_per_Turbine_nbr,Hub_Height_m_nbr,Max_Production_at_wind_speed_m_sec_nbr,Turbine_Model,Capacity_Factor_Percent_nbr
300t/h,42220,270,75,1953-00-00,Siemens,Steinmuller,Siemens,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300t/h,42220,270,75,1953-00-00,Siemens,Steinmuller,Siemens,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300t/h,42220,270,75,1953-00-00,AEG,Steinmuller,Siemens,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300t/h,42220,270,75,1953-00-00,AEG,Steinmuller,Siemens,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195t/h,42220,,350,1976-00-00,Ansaldo,Franco Tosi,Ercoli Marelli,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,42220,200,25,,Alstom,,,6,GT MS 5001 Black Start Turbine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43140,,350,1967-00-00,GEC UK,International Combustion Ltd,GEC UK,1,ST-1,1996-00-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43140,,350,1968-00-00,GEC UK,International Combustion Ltd,GEC UK,2,ST-2,1996-00-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43140,,350,1969-00-00,GEC UK,International Combustion Ltd,GEC UK,3,ST-3,2012-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43140,,350,1969-00-00,GEC UK,International Combustion Ltd,GEC UK,4,ST-4,2012-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43163,,660,1985-00-00,Toshiba,Ishikawajima-Harima Heavy Industries (IHI),Toshiba,1,ST-1 Reheat Condensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43163,,660,1985-00-00,Toshiba,Ishikawajima-Harima Heavy Industries (IHI),Toshiba,2,ST-2 Reheat Condensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43163,,660,1986-00-00,Toshiba,Ishikawajima-Harima Heavy Industries (IHI),Toshiba,3,ST-3 Reheat Condensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
